iter	Passed	Remaining
0	1	142
1	2	128
2	3	121
3	4	112
4	5	111
5	6	109
6	8	108
7	9	107
8	10	105
9	11	104
10	12	103
11	14	104
12	15	102
13	16	100
14	17	99
15	18	98
16	19	97
17	21	96
18	22	94
19	23	93
20	24	92
21	25	90
22	26	89
23	27	88
24	29	87
25	30	85
26	31	84
27	32	83
28	33	82
29	34	80
30	35	79
31	36	78
32	38	77
33	39	76
34	40	74
35	41	73
36	42	72
37	43	71
38	44	70
39	45	68
40	47	67
41	47	65
42	49	65
43	50	64
44	51	63
45	52	61
46	53	60
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	61	54
53	62	52
54	62	51
55	64	50
56	65	49
57	66	48
58	67	46
59	68	45
60	69	44
61	70	43
62	71	42
63	73	41
64	74	39
65	75	38
66	77	38
67	78	37
68	79	35
69	80	34
70	82	33
71	83	32
72	84	31
73	85	30
74	86	28
75	87	27
76	88	26
77	89	25
78	91	24
79	92	23
80	93	21
81	94	20
82	95	19
83	96	18
84	97	17
85	98	16
86	100	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	107	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
